學年度,學期,課程大類,標籤描述,課程名稱,科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
111,1,系所,🎓 專題/論文,比較國際管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,韓國大眾傳媒與流行文化,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,高級韓國語,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,管理資訊系統,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,電腦圖學,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,初階德語學習,外校碩士課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,德語溝通技巧(一),外校碩士課程,日間部,2.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,行為金融學,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,數字時代的職場心理學,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,供應鏈與物流管理,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,大一專題,外校大學課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,國際政治,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,活動策劃導論,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,技術與報告寫作,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,英文作文,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,初階德國研究,外校大學課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,德語溝通技巧,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,社會工作中的國際化實踐,外校大學課程,日間部,2.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,捷克社會福利體系簡介,外校大學課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,捷克語言與歷史文化入門,外校大學課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,跨文化管理,外校大學課程,日間部,3.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,工作室藝術治療,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,藝術治療倫理,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,諮商理論專題研究,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,美術史(一),外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,跨國公司之風險管理,外校大學課程,日間部,2.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,國際金融市場與策略,外校大學課程,日間部,4.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,財務模型,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,財務數學,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,財務分析,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,會計學,外校大學課程,日間部,2.5,校際教師,0,0,,0.0,1.0,0,1,
