學年度,學期,分類,學制,cluster標籤,課程名稱,英文課程名稱,開課班別(代表),科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
112,2,專業課程,學士班,一般課程,財務管理,Financial Management,企管二,企業管理學系,管理學院,3,林哲鵬張惟珩,4,6,32405,0.9,1.2,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63011_1MABA0005930.pdf
112,2,專業課程,學士班,全英專業,國際行銷,International Marketing,企管二,企業管理學系,管理學院,3,王慕容,3,2,32405,0.86,1.348837209,1,3,
112,2,專業課程,學士班,一般課程,統計學(二),Statistics II,企管二,企業管理學系,管理學院,3,江家瑜曾冠傑,1,6,32405,0.833333333,1.18,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63009_1MABA0002330.pdf
112,2,專業課程,學士班,熱門課程,管理會計,Managerial Accounting,企管二,企業管理學系,管理學院,3,江家瑜,1,2,32405,0.818181818,1.177777778,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63008_1MABA0009330.pdf
112,2,專業課程,學士班,一般課程,會計學實習(二),Accounting Practice II,企管一,企業管理學系,管理學院,0,湯玉珍,3,7,33202,0.94,1.191489362,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63007_1MABA0010400.pdf
112,2,專業課程,學士班,全英專業,經濟學(二),Economics II,企管一,企業管理學系,管理學院,3,薛明賢,3,2,33202,0.94,1.127659574,1,3,
112,2,專業課程,學士班,一般課程,商業智慧與大數據分析應用,"Business Intelligence, Big Data Analytics and Applications",企管一,企業管理學系,管理學院,3,王信文,2,6,34201,0.94,1.234042553,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63005_1MABA0154530.pdf
112,2,專業課程,學士班,熱門課程,管理學,Principles of Management,企管一,企業管理學系,管理學院,3,張世其,2,2,33202,1.04,1.076923077,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63004_1MABA0009630.pdf
112,2,專業課程,學士班,熱門課程,會計學(二),Accounting II,企管一,企業管理學系,管理學院,3,湯玉珍,1,5,33203,1.06,1.094339623,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63003_1MABA0012230.pdf
112,2,專業課程,學士班,全英專業,美國政府,American Government & Institutions,企管一,企業管理學系,管理學院,3,保羅霍夫曼,1,2,34201,0.54,1.259259259,1,3,
112,2,專業課程,學士班,熱門課程,生命探索發展與實踐,Enlightening and Practicing of Careerlife,企管一,企業管理學系,管理學院,2,王朝興江家瑜,3,5,33202,0,1,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63001_0CCGE0177920.pdf
112,2,專業課程,碩博士班,專題/論文,論文,Research Thesis,企高夜碩二A,企高夜碩二,,0,論文,0,0,,0,1,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/62075_1MAACE024900.pdf
112,2,專業課程,碩博士班,專題/論文,論文指導,Thesis Advice,企高夜碩二A,企高夜碩二,,4,論文,0,0,,0,1,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/62074_1MAACE147840.pdf
112,2,專業課程,碩博士班,熱門課程,國際政經與產業發展個案,"Case Study on International Public Policy, Economy, and Industrial Development",企高夜碩一A,企高夜碩一,,3,鄭國枝楊昌田,6,2,32105-二館,0,1,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/62073_1MAACE155830.pdf
