序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
11,800E4,日外校大學,基礎捷克文一Basic Czech 1,無檔案No file,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學
12,800E3,日外校大學,與身心障礙人士的溝通技巧Communication with People with Disabilit,無檔案No file,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學
13,800E2,日外校大學,數位攝影Photography - Digital Advanced,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學
14,800E1,日外校大學,學術英文與讀書技巧Academic English and Study Skills,無檔案No file,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學
15,800D9,日外校大學,韓語的發音與應用Pronunciation of Korean and its Application,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,University of Seoul
16,800D8,日外校大學,當今德國—德國生活與文化Germany Today - German Life and Culture,無檔案No file,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
17,800D7,日外校大學,初級德文German Language Course (Advanced Beginners),無檔案No file,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
18,800D6,日外校大學,初級德文密集課German Intensive Language Course for Beginners,無檔案No file,,自由選修,,否,4.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
19,800D5,日外校大學,日常用品的文化The Culture of Daily Objects,無檔案No file,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
20,800D4,日外校大學,中級韓文Intermediate Korean Language 2,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
21,800D3,日外校大學,實用韓文Practical Korean Language 3,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,2,限本班,University of Seoul
22,800D2,日外校大學,韓國歷史Korean History,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul
23,800D1,日外校大學,商務溝通要點Business Communication Essentials,無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,Reutlingen University
24,800C9,日外校大學,國際商務與產業案例研究International Business with Case Studies in Industry,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Reutlingen University
25,800C8,日外校大學,國際談判International Negotiations,無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,Reutlingen University
26,800C7,日外校大學,"學期前密集課程""德語與文化""Pre-semester intensive course ""German language and culture""(18.-29.09.2023)",無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Reutlingen University
27,800C6,日外校大學,歡迎登陸新生入學前培訓Welcome on Board! Pre-arrival Training for Incoming Students,無檔案No file,,自由選修,,否,0.5,校際教師,,,50,0,1,限本班,Reutlingen University
28,800C5,日外校大學,德文課(進階初學者)German Language Course (Advanced Beginners),無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
29,800C4,日外校大學,德文密集課程(初學者)German Intensive Language Course for Beginners,無檔案No file,,自由選修,,否,4,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
30,800C3,日外校大學,今日德國－德國生活與文化Germany Today - German Life and Culture,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
31,800C2,日外校大學,日常物品之文化The Culture of Daily Objects,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
32,800C1,日外校大學,女性主義寫作Feminist Writing,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
33,800B9,日外校大學,中級韓文2Intermediate Korean Language 2,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,2,限本班,University of Seoul
34,800B8,日外校大學,英文口說與討論English Speaking and Discussion,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul
35,800B7,日外校大學,實用韓文3Practical Korean Language 3,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul
36,800B6,日外校大學,韓國大眾媒體和流行文化Mass Media and Popular Culture in Korea,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,3,限本班,University of Seoul
37,800B5,日外校大學,國際行銷International Marketing,無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
38,800B4,日外校大學,"德語 A1.2Deutsch, Niveau A1.2",無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
39,800B3,日外校大學,專案管理Project Management,無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
40,800B2,日外校大學,商務模擬Business Simulation,無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
41,800B1,日外校大學,創新管理Innovation Management,無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
42,800A9,日外校大學,日本語2(聽力．口說)Japanese 2(Listening & Speaking),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
43,800A8,日外校大學,日本語2(聽力)Japanese 2(Listening),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
44,800A7,日外校大學,日本語2(對話)Japanese 2(Conversation),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
45,800A6,日外校大學,日本語2(閱讀．寫作)Japanese 2(Reading & Writing),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
46,800A5,日外校大學,初級德文Deutsch als Fremdsprache I (Niveau A1),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
47,800A4,日外校大學,系統程式Software Service Engineering,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
48,800A3,日外校大學,分散式系統Design of Distributed System,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
49,800A2,日外校碩士班,語音B1/B2Phonetics B1/B2,無檔案No file,,自由選修,,否,2.3,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院
50,800A1,日外校碩士班,語法B1Grammar B1,無檔案No file,,自由選修,,否,2.3,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院
51,80099,日外校碩士班,法文口語B1(理解與表達)Oral French B1(Comprehension and Production),無檔案No file,,自由選修,,否,4.5,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院
52,80098,日外校碩士班,法文書面B1(理解與表達)Written French B1 (Comprehension and Production),無檔案No file,,自由選修,,否,4.5,校際教師,,,4,0,1,限本班,法國-國立東方語言文化學院
53,80097,日外校大學,國際論壇Global Forum,無檔案No file,,自由選修,,否,4,校際教師,,,50,0,1,限本班,
54,80096,日外校大學,國際經濟Global Economy,無檔案No file,,自由選修,,否,4,校際教師,,,50,0,1,限本班,
55,80095,日外校大學,管理會計Accounting in Business,無檔案No file,,自由選修,,否,4.5,校際教師,,,50,0,1,限本班,
56,80094,日外校大學,聽覺障礙生活指導法ⅠMethods and Strategies for Teaching Students with Hearing Impairment,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
57,80093,日外校大學,日本語2(聽、說)Japanese Language 2 (Listening & Conversation),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
58,80092,日外校大學,日本語2(學生的聽解)Japanese Language 2(Listening),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
59,80091,日外校大學,日本語(綜合)BJapanese Language(Comprehensive) B,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,2,限本班,日本-福岡教育大學
60,80090,日外校大學,多文化間心理學Multi-Cultural Psychology,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,2,限本班,日本-福岡教育大學
61,80089,日外校大學,英語教育實習ISP an der Hans-Thoma-GMS Malsch,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
62,80088,日外校大學,德國時事Germany Today-German Life and Culture,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
63,80087,日外校大學,初級進階德文German Language Course (Advanced Beginners),無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
64,80086,日外校大學,初級德文密集課German Intensive Language Course for Beginners,無檔案No file,,自由選修,,否,9,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
65,80085,日外校大學,TEFL師培認證介紹—中等教育Introduction to TEFL Secondary,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
66,80084,日外校大學,差異化翻轉教育Differentiated Flipped Learning,無檔案No file,,自由選修,,否,4,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學
67,80083,日外校大學,聽講練習L6Speaking/Listening Level 6,無檔案No file,,自由選修,,否,5,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校
68,80082,日外校大學,國際經濟International Economics,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校
69,80081,日外校大學,國際論壇GLOBAL & INTL FORUM,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校
70,80080,日外校大學,異文化理解Cross-Cultural Awareness,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本-愛知教育大學
71,80079,日外校大學,進階英文Advanced English,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本-愛知教育大學
72,80078,日外校大學,軟體服務工程Software Service Engineering,無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
73,80077,日外校大學,德文A2Kurs 2 (A2),無檔案No file,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,
74,80076,日外校大學,德文A2Kurs 2 (A2),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,0,限本班,
75,80075,日外校大學,哲學入門Introduction to Philosophy,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
76,80074,日外校大學,管理思想史History of Management Thought,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
77,80073,日外校大學,毛澤東思想和中國特色社會主義理論體系概論Mao Zedong Thoughts and Theoretical System of Socialism with Chinese Characteristics,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
78,80072,日外校大學,乒乓球Table Tennis,無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,
79,80071,日外校大學,日本的教育制度BEducation System in Japan B,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學
80,80070,日外校大學,日本語2(聽力、會話)Japanese Language 2 (Listening & Conversation),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
81,80069,日外校大學,日本語2(大學生的聽解)Japanese Language 2(Listening),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
82,80068,日外校大學,比較教育文化論BComparative Studies about Education Cultures B,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學
83,80067,日外校大學,日本事情BJapanese Culture and Society B,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學
84,80066,日外校大學,多文化心理學Multi-Cultural Psychology,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
85,80065,日外校大學,日本語2(溝通)Japanese Language 2 (Communication),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,2,限本班,日本-福岡教育大學
86,80064,日外校大學,日本語2(閱讀、書寫)Japanese Language 2 (Reading & Writing),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學
87,80063,日外校碩士班,德文 1German Communication Skills 1,無檔案No file,,自由選修,,否,2.5,校際教師,,,20,0,1,限本班,
88,80062,日外校碩士班,商業研討1English Business Communication 1,無檔案No file,,自由選修,,否,2.5,校際教師,,,20,0,1,限本班,
89,80061,日外校大學,電腦安全概論Intro to Computer Security,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
90,80060,日外校大學,遊戲編程IPrograming For Game I,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
91,80059,日外校大學,小學教學實習Practice in Primary School,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
92,80058,日外校大學,蕾絲製作(一)Bobbin Lace Production 1,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
93,80057,日外校大學,儀式人類學Anthropology of Ritual,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
94,80056,日外校大學,文化理論：定居系統人類學Theory of Culture: Anthropology of Settlement Systems,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
95,80055,日外校大學,通史General History,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
96,80054,日外校大學,初級捷克語Basic Czech 1,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
97,80053,日外校大學,英文寫作技巧Writing Skills in English,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學
98,80052,日外校大學,社會心理學Social Psychology,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,北京師範大學
99,80051,日外校大學,旅遊地理學Tourism Geography,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,北京師範大學
100,80050,日外校大學,創業投資,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
101,80049,日外校大學,人力資源管理Human Resource Management,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
102,80048,日外校大學,愛的藝術,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
103,80047,日外校大學,TED精彩演講賞析,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
104,80046,日外校大學,香港社會與政治發展史History of Social and Political Development in Hong Kong,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,3,限本班,北京師範大學
105,80045,日外校大學,亞洲電影文化與藝術General Introduction to Asian Film Culture,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,北京師範大學
106,80044,日外校大學,《說文解字》研究Topics in shuo wen jie zi,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,2,限本班,北京師範大學
107,80043,日外校大學,亞洲電影文化與藝術General Introduction to Asian Film Culture,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,北京師範大學
108,80042,日外校大學,新媒體傳播New Media Communication,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,北京師範大學
109,80041,日外校大學,商務漢語Business Chinese,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,北京師範大學
110,80040,日外校大學,韓國歷史Korean History,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
111,80039,日外校大學,實用韓文3Practical Korean Language 3,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
112,80038,日外校大學,個體經濟學Microeconomics,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
113,80037,日外校大學,社會學Sociology,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,
114,80036,日外校碩士班,身體心理學研究Seminar on Somatic Psychology,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,臺北市立大學
115,80035,夜外校大學,旅遊英文,無檔案No file,,自由選修,,否,2,校際教師,,,30,0,1,限本班,至台南應用科技大學上課
116,80034,夜外校大學,國際禮儀與美姿美儀,無檔案No file,,自由選修,,否,2,校際教師,,,30,0,1,限本班,至台南應用科技大學上課
117,80033,日外校大學,巨量資料分析與應用Big Data Analytics and Applications,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,14,限本班,ewant平台跨校通識數位課程。認抵課程：機器和深度學習概論。博雅二/素養通識-(生活藝能及應用)。
118,80032,日外校大學,楚漢相爭之職場競爭力The Social Competitiveness of Career,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,28,限本班,ewant平台跨校通識數位課程。認抵課程：願景激發與執行。博雅三/跨學院通識(教)，教育學院學生修習不能認證為通識學分。
119,80031,日外校大學,生產品質工程實務Production Quality Engineering Practice,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立勤益科技大學「本課程網路選課人數未達開課人數，請洽開課單位。」
120,80030,日外校大學,電腦輔助機械製圖Computer Aided Mechanical Drawing,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立勤益科技大學「本課程網路選課人數未達開課人數，請洽開課單位。」
121,80029,日外校大學,中級會計學習作Practice In Intermediate Accounting (I),無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
122,80028,日外校大學,中級會計學(一)Intermediate Accounting (I),無檔案No file,,自由選修,,否,4,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
123,80027,日外校大學,中國通史General Chinese History,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
124,80026,日外校大學,臺灣史History of Taiwan,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
125,80025,日外校大學,世界通史General World History,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
126,80024,日外校大學,體操Gymnastics,無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
127,80023,日外校大學,社會學Sociology,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
128,80022,日外校博士班,社會中的藝術Art as a Social System,無檔案No file,,自由選修,,否,3,校際教師,,,20,0,1,限本班,東海大學
129,80021,日外校博士班,大衛哈維思想史David Harvey's History of Thoughts,無檔案No file,,自由選修,,否,3,校際教師,,,20,0,1,限本班,東海大學
130,80020,日外校碩士班,視覺心理學Visual Perception,無檔案No file,,自由選修,,否,3,校際教師,,,20,0,1,限本班,國立陽明交通大學「本課程網路選課人數未達開課人數，請洽開課單位。」
131,80019,日外校碩士班,博物館學專題Museum Study Topics,無檔案No file,,自由選修,,否,2,校際教師,,,20,0,1,限本班,東海大學「本課程網路選課人數未達開課人數，請洽開課單位。」
132,80018,日外校大學,資訊法律Information Law,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
133,80017,日外校大學,公司法(一)Corporations Law (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
134,80016,日外校大學,憲法訴訟法Constitutional Court Procedure,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
135,80015,日外校大學,法理學Jurisprudence,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
136,80014,日外校大學,憲法(一)Constitutional Law(I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
137,80013,日外校大學,刑法總則(一)Criminal Law: General Principles (I),無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
138,80012,日外校大學,民法總則(一)Civil Law: General Principles (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
139,80011,日外校大學,"家庭、性別與文化Family, Gender and Culture",無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
140,80010,日外校大學,倫理學Ethics,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,「本課程網路選課人數未達開課人數，請洽開課單位。」
141,80009,日外校大學,句法學Syntax,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,國立中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
142,80008,日外校大學,工程倫理Engineering and Professional Ethics,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,國立中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
143,80006,日外校大學,遺傳學Genetics,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,東海大學「本課程網路選課人數未達開課人數，請洽開課單位。」
144,80005,日外校大學,生物產業機電工程概論Introduction to Bioindustrial Mechatronics Engineerig,無檔案No file,,自由選修,,否,1,校際教師,,,1,0,1,限本班,國立中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
145,80004,日外校大學,海洋文化與遊憩探索Maritime Culture and Recreation Exploration,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立臺東大學「本課程網路選課人數未達開課人數，請洽開課單位。」
146,80003,日外校大學,潛水Scuba Diving,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立臺東大學「本課程網路選課人數未達開課人數，請洽開課單位。」
147,80002,日外校大學,民法總則(一)Civil Law: General Principles (I),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,國立中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
148,80001,日外校大學,刑法總則(一)Criminal Law: General Principles (I),無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
149,78055,公共事務夜碩一,社區營造專題研究Seminar on the Community Building in Taiwan,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78055_1SPPCE145220.pdf,系選修,,否,2,鄭依萍,白沙大樓,(一) 10-13 公研C,30,0,16,限本系,雙週一上課；第一次上課日期9/18
150,78054,公育碩二,論文Thesis,無檔案No file,,系必修,,否,0,論文,,,20,3,18,限本班,
151,78053,公育碩一,公共事務專題研究Seminar on Public Affairs,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78053_1SPPC2002630.pdf,系選修,,否,3,吳介英,白沙大樓,(二) 07-09 公研A,20,8,16,限本系,
152,78052,公育碩一,地方政府專題研究Seminar on Local Government,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78052_1SPPC2153620.pdf,系選修,,否,2,李長晏,白沙大樓,(二) 05-06 公研A,20,9,17,限本系,
153,78051,公育碩一,教育法規專題研究Seminar on Education Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78051_1SPPC2157130.pdf,系選修,,否,3,魏培軒,白沙大樓,(四) 02-04 公研A,20,7,21,限本系,
154,78050,公共事務夜碩二,論文Thesis,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78050_1SPPCE146400.pdf,系必修,,否,0,論文,,,30,0,18,限本系,延修生維持學籍及本學期欲畢業者修習
155,78049,公共事務夜碩一,行政組織與管理專題研究Seminar on Administrative Organization and Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78049_1SPPCE148620.pdf,系選修,,否,2,黃建銘,白沙大樓,(三) 10-13 公研C,30,0,19,限本系,雙週三上課；第一次上課日期9/20
156,78048,公共事務夜碩一,公共關係危機處理專題研究Seminar on Public Relations and Crisis Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78048_1SPPCE158620.pdf,系選修,,否,2,劉兆隆,白沙大樓,(二) 10-13 公研C,30,0,20,限本系,雙週二上課；第一次上課日期9/19
157,78047,公共事務夜碩一,社會科學研究方法Research Methods in the Social Sciences,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/78047_1SPPCE142520.pdf,系必修,,否,2,張嘉仁,白沙大樓,(四) 10-13 公研C,30,0,11,限本系,單週四上課；第一次上課日期9/14
