序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
411,62038,會碩一甲,審計理論與實務Advanced  Auditing  Theory  and Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62038_1MAAC2009030.pdf,系必修,,否,3,方俊儒,經世館,(三) 02-04 32309教室,30,16,19,限本班,
412,62037,會三乙,證券市場與投資Security Market and Investment,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62037_1MAAC0146230.pdf,系選修,,否,3,李桓伊傅文芳,經世館,(三) 05-07 32713,50,35,33,限本系,
413,62036,會三甲,證券市場與投資Security Market and Investment,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62036_1MAAC0146230.pdf,系選修,,否,3,林宜君張錫惠,經世館,(三) 05-07 32712,50,32,32,限本系,
414,62035,會二甲,統計學(二)Statistics II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62035_1MAAC0015730.pdf,系必修,,否,3,邱垂昌,教學一館,(三) 06-08 33102,50,38,41,限本班,
415,62034,會二乙,統計學(二)Statistics II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62034_1MAAC0015730.pdf,系必修,,否,3,邱垂昌,教學一館,(三) 02-04 33102,50,43,50,限本班,
416,62033,會二甲,中級會計專題(二)Seminar on Intermediate Accounting II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62033_1MAAC0140020.pdf,系選修,,否,2,林美鳳,經世館,(三) 03-04 32105-二館,50,39,41,限本系,
417,62032,會一甲,會計學實習(二)Accounting Practice II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62032_1MAAC0010500.pdf,系必修,,否,0,方俊儒,經世館,(三) 08-09 32105-二館,50,42,49,限本班,
418,62031,會碩一乙,管理會計理論與實務Managerial Accounting Theory and Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62031_1MAAC2009230.pdf,系必修,,否,3,鄭國枝,經世館,(二) 05-07 32603,30,16,19,限本班,
419,62030,會碩一乙,科技創新管理研討Seminar  on  Technology  and   Innovation Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62030_1MAAC2147530.pdf,系選修,,否,3,陳雅玲,經世館,(二) 02-04 32309-1,30,33,38,限本系,
420,62029,會四乙,高級會計學(二)Advanced Accounting II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62029_1MAAC0009530.pdf,系必修,,否,3,彭智偉,經世館,(四) 05-07 32105-二館,50,39,41,限本班,
421,62028,會三甲,財務報表分析Financial Statement Analysis,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62028_1MAAC0005930.pdf,系選修,,否,3,邱垂昌,經世館,(二) 02-04 32309教室,50,30,34,限本系,
